activity_id,activity_date,developer,project_code,project_name,requirement_id,deliverable_id,activity_type,activity_title,activity_summary,systems_touched,files_touched,evidence_refs,reusable_asset_created,reusable_pattern,validation_rule,gap_or_risk,next_action,status,priority,llm_queryable,company_knowledge_candidate,memory_tags,source_skill_file,source_type
D03-A01,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,Bulk selection and delete for Conversations,"Added a checkbox column, select-all, a selected-count bar and a bulk Delete action with a confirmation dialog to the admin Conversations table. Deleting a conversation cascades to its messages and citations; knowledge-gap and provider-log references are set NULL so history is preserved. Verified live: 2 sessions deleted, messages and citations went to 0.","react-frontend, tanstack-start-api, neon-postgresql",src/routes/admin/conversations.tsx; src/routes/api/admin/conversations.bulk-delete.ts; src/lib/services/conversations.service.ts; src/components/admin/bulk-delete.tsx; src/lib/validators/admin.ts,SKILL 2.3 Scope + 3 Admin Record Management; POST /api/admin/conversations/bulk-delete returns {deleted}; FK cascade chat_sessions->chat_messages->message_citations verified; audit action conversation.deleted; no commit hash (uncommitted working tree),true,"Reusable BulkDeleteButton component driving the DataTable selection API (selectable/selected/onSelectionChange/bulkActions), reused on Conversations and Gaps.","Bulk delete must show a confirmation before removing rows and must preserve DB integrity: dependent rows cascade, referenced history rows are set NULL, ids validated by Zod.",Bulk endpoint runs single deletes server-side; large selections are capped at 500 ids by the validator.,Reuse the same BulkDeleteButton pattern on any future admin list that needs bulk removal.,completed,high,true,true,"bulk-delete,conversations,cascade,confirmation-dialog,admin-record-management,data-table,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A02,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,Bulk selection and delete for Knowledge Gaps,"Applied the same bulk selection, select-all, count and confirmed bulk Delete to the Knowledge Gaps table, reusing the shared BulkDeleteButton and the DataTable selection API rather than duplicating UI. Backed by a dedicated bulk-delete endpoint and service.","react-frontend, tanstack-start-api, neon-postgresql",src/routes/admin/knowledge-gaps.tsx; src/routes/api/admin/gaps.bulk-delete.ts; src/lib/services/gaps.service.ts,SKILL 2.3 Scope; POST /api/admin/gaps/bulk-delete returns {deleted}; audit action gap.deleted; gaps.service.deleteMany DELETE ... WHERE id = ANY($1); verified live delete,false,Reuses the BulkDeleteButton + DataTable selection pattern created in D03-A01.,Delete only the selected gap ids after confirmation; ids validated by shared bulkDeleteSchema.,None identified.,None.,completed,high,true,false,"bulk-delete,knowledge-gaps,admin-record-management,data-table,reuse,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A03,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,Date-based filtering for admin records,"Built a shared DateRangeFilter (Today, Yesterday, Last 7 days, Last 30 days, Custom) and wired it into Conversations and Knowledge Gaps so admins can narrow records before selecting or deleting. Added inclusive from/to bounds to the gaps list API (conversations already had them).","react-frontend, tanstack-start-api, neon-postgresql",src/components/admin/date-range-filter.tsx; src/routes/admin/conversations.tsx; src/routes/admin/knowledge-gaps.tsx; src/lib/validators/admin.ts; src/lib/services/gaps.service.ts,SKILL 2.3 Scope + 4 Date Filter; listGapsQuerySchema from/to (YYYY-MM-DD); gaps.service last_asked_at >= from and < to+1day; verified 10 gaps in a 7-day range,true,"Controlled DateRangeFilter component: page owns from/to bounds, the control derives the active preset, Custom reveals native date inputs. Reused across both admin list pages.",Date bounds validated as YYYY-MM-DD; 'to' is inclusive of the whole day (compared against next midnight).,None identified.,Reuse DateRangeFilter on other admin lists (e.g. Knowledge documents) if date filtering is needed.,completed,medium,true,true,"date-filter,date-range,conversations,knowledge-gaps,admin-record-management,reusable-component,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A04,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,Edit functionality for Knowledge Gaps,"Extended the existing Knowledge Gap Review dialog (no new component) so admins can edit the question text and department in addition to status, resolution note and linked document. Backend PATCH and validator were extended to accept question and departmentId; saving validates, updates, refreshes the table and preserves filters and pagination.","react-frontend, tanstack-start-api, neon-postgresql",src/routes/admin/knowledge-gaps.tsx; src/routes/api/admin/gaps.$id.ts; src/lib/validators/admin.ts; src/lib/services/gaps.service.ts,SKILL 2.3 Scope + 4 Knowledge Gap Edit; PATCH /api/admin/gaps/:id; updateGapSchema gains question + departmentId; verified edit of question/department/status/note persisted,false,Extend the existing Review dialog rather than duplicating a Create dialog for edit.,At least one field must change; question is required and non-empty; department id validated.,None identified.,None.,completed,high,true,false,"knowledge-gaps,edit,review-dialog,patch,admin-record-management,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A05,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,bugfix,Fix the Conversations View (Eye) action,The Eye button on the Conversations table did not open the transcript. Root cause: it was the only place wrapping a TanStack Router <Link> inside a shadcn <Button asChild> (a Radix Slot); the Slot prop-merge stopped the Link's navigation from firing. Fixed by rendering a plain <Link> styled as an icon button - the same reliable pattern the Session title link uses - and removing the conflicting full-row onRowClick.,"react-frontend, tanstack-router",src/routes/admin/conversations.tsx,"SKILL 2.3 Scope + 4 Conversation View Fix; route /admin/conversations/$id registered and GET /api/admin/conversations/:id returns transcript (both verified healthy); the plain Session-title Link worked, proving the destination; asChild+Slot wrapper was the fault",false,Do not wrap a framework router Link in a Radix Slot (Button asChild) for navigation; render the Link directly and style it.,"A row action that navigates must use a real Link element, not a Slot-merged one.",Full-row onRowClick conflicted with the new selection checkboxes; removed it as part of the fix.,Audit other pages for Button-asChild-around-Link if any navigation feels dead.,completed,high,true,true,"bugfix,eye-button,view-transcript,radix-slot,tanstack-link,as-child-pitfall,conversations,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A06,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,ui_polish,Reduce KPI card height on the Conversations page,"Trimmed the shared KPI card vertical padding (py-4 to py-3) in the admin primitives so KPI rows take less height while keeping the same width, typography, layout and spacing. Applies consistently to every admin page that uses the KPI card.",react-frontend,src/components/admin/primitives.tsx,SKILL 2.3 Scope; Kpi component padding changed px-4 py-3 (was p-4); shared across all KPI rows,false,Adjust the shared KPI primitive once so all admin dashboards stay visually consistent.,"Height reduction must not change card width, typography or horizontal spacing.","Change is global to all KPI rows (intended, for consistency).",None.,completed,low,true,false,"ui-polish,kpi-cards,spacing,conversations,design-system,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A07,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,ui_polish,Improve the Search Playground UI,"Rebuilt the admin Search Playground with a cleaner info banner (fixing a text-overlap glitch), a larger question field with a character counter, a polished controls row, a 'How it works' step flow and feature cards - all from the existing design system. The working hybrid-retrieval query, score bars and match highlighting were preserved.","react-frontend, tanstack-start-api",src/routes/admin/search.tsx,SKILL 2.3 Scope + 4 Search Playground UI; scoped search still returns vector+keyword scores (verified HR-scoped query); no change to /api/admin/knowledge/search,false,Reuse theme tokens and shadcn components for a consistent admin look; keep retrieval logic untouched during UI work.,"UI refresh must not change retrieval results, scores or scope.",Interaction feel not browser-verified (no headless click-through available).,Do a manual click-through of the playground to confirm feel.,completed,medium,true,false,"ui-polish,search-playground,retrieval-visibility,design-system,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A08,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,Hide the All Departments option from the user chat,"Removed the 'All departments' option from the user-facing chat: the header dropdown was replaced with a department indicator, and the public /api/departments picker now excludes shared/system departments and lists every active department. Global search remains supported in the backend for admin use only.","react-frontend, tanstack-start-api, neon-postgresql",src/routes/index.tsx; src/routes/api/departments.ts,SKILL 2.3 Scope; /api/departments hides is_shared=true and lists active departments; verified picker excludes the Shared bucket,false,Hide system/shared departments from end-user pickers while keeping backend global scope for admins.,The Shared/system department must never appear in the user chat picker.,"'All departments' hidden from users only (temporary), backend global scope intentionally retained.",None.,completed,medium,true,false,"chat-ui,department-picker,hide-all-departments,shared-hidden,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A09,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,Welcome greeting for new conversations,"Added a friendly welcome greeting on the chat's empty state that introduces the assistant and what it can help with, shown only for a new conversation and cleared on New Chat, so first-time users get an orientation before asking.",react-frontend,src/routes/index.tsx,SKILL 2.3 Scope + 4 Welcome Message; greeting rendered when messages are empty and no picker is active,false,"Show onboarding/greeting only on the empty conversation state, not after every message.",Greeting appears only for a new conversation and never repeats mid-conversation.,None identified.,None.,completed,low,true,false,"chat-ui,welcome-message,onboarding,new-conversation,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
D03-A10,2026-07-20,sarujanan,atdk,Ask the Digit - Knowledge Interface,REQ-01,D03,feature,General questions search Shared knowledge only,"Added intent routing so that when no department is selected the system decides whether a question is general or department-specific. General questions are answered from Shared company knowledge only (a new shared-only retrieval scope), with no department prompt. The classifier is deterministic (based on a shared-knowledge match) so it adds no extra vector search and cannot be knocked out by a busy LLM provider.","react-frontend, tanstack-start-api, neon-postgresql, gemini-embeddings",src/lib/ai/intent.server.ts; src/routes/api/chat.intent.ts; src/lib/services/retrieval.service.ts; src/lib/services/chat-knowledge.server.ts; src/routes/api/chat.ts; src/routes/index.tsx,SKILL 2.2/3 Department-Based Chat; POST /api/chat/intent returns general | department_required; retrieve() sharedOnly scope filters cd.is_shared; verified 'working hours' -> general -> shared answer,true,"Deterministic intent classification by shared-knowledge retrieval confidence (no extra LLM call, no extra vector search).",A general question searches Shared knowledge only; it must never trigger a per-department search.,Classifier quality depends on general policies actually living in the Shared department.,Keep company-wide policies uploaded to the Shared department so general questions resolve.,completed,high,true,true,"chat-flow,intent-classification,shared-knowledge,general-questions,retrieval-scope,atdk",2026-07-20_sarujanan_REQ-atdk_REQ-01-D03.md,skill_file
